kind	plugin	formid	name	record	category
actor	Oblivion.esm	015E9E	Thoronir	NPC_	food merchant
actor	Oblivion.esm	02D024	TrayvondtheRedguard	NPC_	merchant
actor	Oblivion.esm	00A285	Trevaia	NPC_	merchant
actor	Oblivion.esm	028F9D	Tumindil	NPC_	merchant
actor	Oblivion.esm	034E69	TunZeeus	NPC_	merchant
actor	Oblivion.esm	00A088	Ungarion	NPC_	food merchant
actor	Oblivion.esm	00A08A	UravasaOthrelas	NPC_	merchant
actor	Oblivion.esm	015EAA	UrbulgroOrkulg	NPC_	merchant
actor	Oblivion.esm	00A283	VarelMorvayn	NPC_	merchant
actor	Oblivion.esm	015EAD	Varnado	NPC_	merchant
actor	Oblivion.esm	015EAE	VelusHosidius	NPC_	innkeeper+merchant
actor	Oblivion.esm	015E9F	ViatorAccius	NPC_	merchant
actor	Oblivion.esm	0293F3	ViggetheCautious	NPC_	merchant
actor	Oblivion.esm	0280C8	VlanhonderMoslin	NPC_	innkeeper+merchant
actor	Oblivion.esm	02D01F	Volanaro	NPC_	merchant
actor	Oblivion.esm	00A27E	Wilbur	NPC_	innkeeper+merchant
actor	Oblivion.esm	01D340	Willet	NPC_	innkeeper+merchant
actor	Oblivion.esm	02C8D8	Witseidutsei	NPC_	innkeeper+merchant
actor	Oblivion.esm	0CD302	lyndacartertest	NPC_	food merchant
actor	Oblivion.esm	0245A5	testHEMale	NPC_	merchant
