SOURCE_FORMID	PATCH_FORMID	EDITORID	NAME	SEX	HAIR	HL
0206BD61	0406BD61	ANQRMNTonenakaMonk01	Tonenaka Monk	M	0Victor	0VictorHL
0206BD62	0406BD62	ANQRMNWuTan	Wu-Tan	M	0TheTruth	0TheTruthHL
0206BD63	0406BD63	ANQRMNTonenakaMonk02	Tonenaka Monk	M	0TheTruth	0TheTruthHL
0206BDBC	0406BDBC	ANQRMNKingXanu	King Xanu	M	0TheTruth	0TheTruthHL
0206C8AE	0406C8AE	ANQORCOrcrestJailor	Orcrest Jailor	M	0Victor	0VictorHL
0206E544	0406E544	ANQMCG01RedJazaska	Red Jazaska	F	0Lenore	0LenoreHL
0206F6D5	0406F6D5	ANQRMNRimmenGuardKingEscort	King's Bodyguard	M	0RedRobin	0RedRobinHL
0206F6FC	0406F6FC	ANQRMNRimmenGuardPostDay05	Rimmen Guard	M	0Victor	0VictorHL
0206F6FD	0406F6FD	ANQRMNRimmenGuardPostNight05	Rimmen Guard	M	0Victor	0VictorHL
02073810	04073810	ANQSQ08DremoraOfTheLamp	Dremora of the Lamp	F	0Koala	0KoalaHL
02073818	04073818	ANQTribalShamanM01OhmesRaht	Tribal Shaman	M	0TheTruth	0TheTruthHL
0207381B	0407381B	ANQTribalShamanM02Suthay	Tribal Shaman	M	0Victor	0VictorHL
0207381D	0407381D	ANQTribalShamanM03Suthay	Tribal Shaman	M	0Victor	0VictorHL
0207381F	0407381F	ANQTribalShamanM04Ohmes	Tribal Shaman	M	0Victor	0VictorHL
02073825	04073825	ANQTribalShamanF01Ohmes	Tribal Witch	F	0Koala	0KoalaHL
02073827	04073827	ANQTribalShamanF02Suthay	Tribal Witch	F	0Lenore	0LenoreHL
02073842	04073842	ANQSQ03Slababa	S'lababa	M	0Theo	0TheoHL
0207720E	0407720E	ANQRMNTsunChi	Tsun-Chi	M	0Theo	0TheoHL
02078252	04078252	ANQHG03Mnalawa	Mnalawa	F	0Laurell	0LaurellHL
0207CC8F	0407CC8F	ANQSQ07Highwayman	Highwayman	M	0TheTruth	0TheTruthHL
0207DCEB	0407DCEB	ANQSQ08LoveMan	Love	M	0TheTruth	0TheTruthHL
0207DCEC	0407DCEC	ANQSQ08LoveWoman	Love	F	0Lenore	0LenoreHL
0207E3E4	0407E3E4	ANQRMNIlengar	Ilengar	M	0Victor	0VictorHL
0207E3E7	0407E3E7	ANQRMNRishaya	Rishaya	F	0Koala	0KoalaHL
0207E3E8	0407E3E8	ANQRMNJShambar	J'Shambar	M	0TheTruth	0TheTruthHL
02080E28	04080E28	ANQSQ05Gjuna	G'juna	M	0RedRobin	0RedRobinHL
020826C8	040826C8	ANQSQ06OrcPilgrim01	Orc Pilgrim	M	0TheTruth	0TheTruthHL
020826CB	040826CB	ANQSQ06OrcPilgrim02	Orc Pilgrim	M	0Theo	0TheoHL
020826CD	040826CD	ANQSQ06OrcPilgrim03	Orc Pilgrim	F	0Laurell	0LaurellHL
020826D2	040826D2	ANQSQ06OrcPilgrim04	Orc Pilgrim	M	0Theo	0TheoHL
02083F58	04083F58	ANQSQ02BhorlarzgroYambak	Bhorlarz gro-Yambak	M	0Victor	0VictorHL
02084D19	04084D19	ANQRMNRimmenGuardPatrolDay01	Rimmen Guard	M	0Theo	0TheoHL
02084D1C	04084D1C	ANQRMNRimmenGuardPatrolNight01	Rimmen Guard	M	0Theo	0TheoHL
02084D1F	04084D1F	ANQRMNRimmenGuardPostDay01	Rimmen Guard	M	0Theo	0TheoHL
02084D20	04084D20	ANQRMNRimmenGuardPostDay02	Rimmen Guard	M	0Theo	0TheoHL
02084D21	04084D21	ANQRMNRimmenGuardPostDay03	Rimmen Guard	M	0Victor	0VictorHL
02084D22	04084D22	ANQRMNRimmenGuardPostNight01	Rimmen Guard	M	0TheTruth	0TheTruthHL
02084D23	04084D23	ANQRMNRimmenGuardPostNight02	Rimmen Guard	M	0TheTruth	0TheTruthHL
02084D24	04084D24	ANQRMNRimmenGuardPostNight03	Rimmen Guard	M	0RedRobin	0RedRobinHL
02084D27	04084D27	ANQRMNRimmenGuardJailorDay	Rimmen Jailor	M	0RedRobin	0RedRobinHL
02084D28	04084D28	ANQRMNRimmenGuardJailorNight	Rimmen Jailor	M	0RedRobin	0RedRobinHL
02084D29	04084D29	ANQRMNRimmenGuardPostDay04	Rimmen Guard	M	0Victor	0VictorHL
02084D2A	04084D2A	ANQRMNRimmenGuardPostNight04	Rimmen Guard	M	0Theo	0TheoHL
0208811E	0408811E	ANQSQ05ValenwoodScoutCaptain01	Valenwood Scout Captain	F	0Lamb	0LambHL
02088120	04088120	ANQSQ05ValenwoodScout01	Valenwood Scout	M	0RedRobin	0RedRobinHL
02088122	04088122	ANQSQ05ValenwoodScout02	Valenwood Scout	M	0RedRobin	0RedRobinHL
02088125	04088125	ANQSQ05ValenwoodScout03	Valenwood Scout	F	0Lamb	0LambHL
0208812F	0408812F	ANQTRBGbujewaClanMother	Gbujewa Clan Mother	F	0Lenore	0LenoreHL
02088131	04088131	ANQTRBGbujewaTribesman02	Gbujewa Warrior	M	0TheTruth	0TheTruthHL
02088132	04088132	ANQTRBGbujewaTribesman03	Gbujewa Warrior	M	0RedRobin	0RedRobinHL
02088133	04088133	ANQTRBGbujewaTribeswoman01	Gbujewa Tribeswoman	F	0Lamb	0LambHL
02088135	04088135	ANQTRBGbujewaTribeswoman03	Gbujewa Tribeswoman	F	0Leona	0LeonaHL
0208A718	0408A718	ANQTRBQwazaniTribesman03	Q'wazani Warrior	M	0RedRobin	0RedRobinHL
0208A719	0408A719	ANQTRBQwazaniTribesman02	Q'wazani Warrior	M	0Theo	0TheoHL
0208A71A	0408A71A	ANQTRBQwazaniTribeswoman01	Q'wazani Tribeswoman	F	0Lamb	0LambHL
0208A71C	0408A71C	ANQTRBQwazaniTribeswoman03	Q'wazani Tribeswoman	F	0Koala	0KoalaHL
0208B55A	0408B55A	ANQTRVTravellerM01	Traveller	M	0TheTruth	0TheTruthHL
0208B55B	0408B55B	ANQTRVTravellerM02	Traveller	M	0Theo	0TheoHL
0208B55D	0408B55D	ANQTRVPilgrimF01	Pilgrim	F	0Laurell	0LaurellHL
0208B55E	0408B55E	ANQTRVPilgrimM01	Pilgrim	M	0RedRobin	0RedRobinHL
0208B55F	0408B55F	ANQTRVPilgrimM02	Pilgrim	M	0TheTruth	0TheTruthHL
0208B561	0408B561	ANQTRVMadProphetM01	Mad Doom Prophet	M	0Victor	0VictorHL
0208B567	0408B567	ANQTRVHarvesterF02	Harvester	F	0Lamb	0LambHL
0208B568	0408B568	ANQTRVHarvesterF03	Harvester	F	0Leona	0LeonaHL
0208B569	0408B569	ANQTRVOldHagF01	Old Hag	F	0Laurell	0LaurellHL
0208B56B	0408B56B	ANQTRVGoatherdM02	Goatherd	M	0RedRobin	0RedRobinHL
0208B56D	0408B56D	ANQTRVTravellerF01	Traveller	F	0Laurell	0LaurellHL
0208B56E	0408B56E	ANQTRVImperialLegionSoldier01	Imperial Legion Soldier	M	0Theo	0TheoHL
0208B56F	0408B56F	ANQTRVImperialLegionSoldier02	Imperial Legion Soldier	M	0Theo	0TheoHL
0208B570	0408B570	ANQTRVPeddlerM01	Peddler	M	0TheTruth	0TheTruthHL
0208B571	0408B571	ANQTRVPeddlerF01	Peddler	F	0Leona	0LeonaHL
0208C62E	0408C62E	ANQTRVMinerM02	Miner	M	0Theo	0TheoHL
020913BF	040913BF	ANQRMNChibilha	Chibilha	F	0Laurell	0LaurellHL
020913C8	040913C8	ANQRMNBossMaTombosi	Boss Ma'Tombosi	M	0Theo	0TheoHL
02092F29	04092F29	ANQORCAgorak	Agorak	M	0Theo	0TheoHL
02092F9F	04092F9F	ANQRMNGhakgroShub	Ghak gro-Shub	M	0RedRobin	0RedRobinHL
0209591E	0409591E	ANQDUNBahmarra	Bahmarra	F	0Laurell	0LaurellHL
020963E6	040963E6	ANQDUNCherimWorker02	Cherim Worker	F	0Laurell	0LaurellHL
020963E8	040963E8	ANQDUNCherimWorker05	Cherim Worker	F	0Leona	0LeonaHL
02097ED8	04097ED8	ANQORCOrcrestArcherOrcF01	Orcrest Archer	F	0Laurell	0LaurellHL
02097EDA	04097EDA	ANQORCOrcrestArcherOrcF02	Orcrest Archer	F	0Laurell	0LaurellHL
02098569	04098569	ANQDUNCherimWarehouseGuard	Cherim Warehouse Guard	M	0Theo	0TheoHL
0209856E	0409856E	ANQDUNLeetalaCherim	Leetala Cherim	F	0Lenore	0LenoreHL
02099070	04099070	ANQSQ02BhorlarzAvenger01	Ubal gro-Yambak	M	0RedRobin	0RedRobinHL
02099071	04099071	ANQSQ02BhorlarzAvenger02	Ugarka dra-Labag	F	0Koala	0KoalaHL
02099076	04099076	ANQORCFalargadraSharka	Falarga dra-Sharka	F	0Lamb	0LambHL
0209B952	0409B952	ANQRMNSkoomaAddict04	Skooma Addict	M	0Victor	0VictorHL
0209B953	0409B953	ANQRMNSkoomaAddict05	Skooma Addict	M	0TheTruth	0TheTruthHL
0209B954	0409B954	ANQRMNSkoomaAddict06	Skooma Addict	F	0Leona	0LeonaHL
0209B955	0409B955	ANQRMNSkoomaAddict07	Skooma Addict	M	0Victor	0VictorHL
0209B956	0409B956	ANQRMNSkoomaAddict08	Skooma Addict	F	0Koala	0KoalaHL
0209E326	0409E326	ANQDUNFarrus	Farrus	M	0Victor	0VictorHL
020A2800	040A2800	ANQLGNVestiaLaurentia	Vestia Laurentia	F	0Leona	0LeonaHL
020A2804	040A2804	ANQLGNMarcusPaulinius	Marcus Paulinius	M	0TheTruth	0TheTruthHL
020A5B01	040A5B01	ANQDUNOdrogil	Foreman Odrogil	M	0TheTruth	0TheTruthHL
020A5B06	040A5B06	ANQDUNTheCrone	The Crone	F	0Laurell	0LaurellHL
020A634F	040A634F	ANQDUNDgazahbaTribesman	Dgazahba Tribesman	M	0Victor	0VictorHL
020A6C09	040A6C09	ANQDUNClayd	Clayd	M	0RedRobin	0RedRobinHL
020A6C11	040A6C11	ANQDUNLeba	Leba	F	0Lamb	0LambHL
020A741B	040A741B	ANQCORChaeVarseu	Chae-Varseu	F	0Lamb	0LambHL
020A848E	040A848E	ANQRHHnassa	H'nassa	F	0Koala	0KoalaHL
020A88D7	040A88D7	ANQRMNLinJiao	Lin-Jiao	F	0Koala	0KoalaHL
020A88D8	040A88D8	ANQRMNMarette	Marette	F	0Leona	0LeonaHL
020A88D9	040A88D9	ANQRMNGluntiusBobatus	Gluntius Bobatus	M	0Victor	0VictorHL
020A88DA	040A88DA	ANQRMNSanbal	Sanbal	M	0Victor	0VictorHL
020A88DB	040A88DB	ANQRMNKhanoud	Khanoud	M	0TheTruth	0TheTruthHL
020A88DC	040A88DC	ANQRMNJShahb	J'Shahb	M	0TheTruth	0TheTruthHL
020A88DD	040A88DD	ANQRMNHalderik	Halderik	M	0RedRobin	0RedRobinHL
020A88DF	040A88DF	ANQRMNDaxu	Daxu	M	0Victor	0VictorHL
020A88E0	040A88E0	ANQRMNThedimir	Thedimir	M	0Theo	0TheoHL
020A9780	040A9780	ANQDUNHroaldIronArm	Hroald Iron-Arm	M	0Victor	0VictorHL
020A9E78	040A9E78	ANQLGNLegionSoldierSeaplace01	Imperial Legion Soldier	M	0RedRobin	0RedRobinHL
020A9E79	040A9E79	ANQLGNLegionSoldierSeaplace02	Imperial Legion Soldier	M	0TheTruth	0TheTruthHL
020A9E7A	040A9E7A	ANQLGNLegionSoldierSeaplace03	Imperial Legion Soldier	M	0TheTruth	0TheTruthHL
020A9E7B	040A9E7B	ANQLGNLegionSoldierSeaplace04	Imperial Legion Soldier	M	0Victor	0VictorHL
020A9E80	040A9E80	ANQLGNHirsidiusAllentus	Hirsidius Allentus	M	0RedRobin	0RedRobinHL
020A9E82	040A9E82	ANQLGNRhabus	Rhabus Stablemaster	M	0Victor	0VictorHL
020A9E84	040A9E84	ANQLGNMuniciaBellisarius	Municia Bellisarius	F	0Lamb	0LambHL
020AC3AB	040AC3AB	ANQDUNBatiaArastius	Batia Arastius	F	0Lenore	0LenoreHL
020AE4B6	040AE4B6	ANQCORCorinthePalaceGuardZdastari	Corinthe Palace Guard	M	0RedRobin	0RedRobinHL
020AFBDB	040AFBDB	ANQDUNDuneJailor	Dune Jailor	M	0Victor	0VictorHL
020B03FA	040B03FA	ANQRMNTanparion	Tanparion	M	0RedRobin	0RedRobinHL
020B0C99	040B0C99	ANQRMNNagahni	Nagahni	F	0Lamb	0LambHL
020B0CCC	040B0CCC	ANQDUNMarvysDralor	Marvys Dralor	M	0Victor	0VictorHL
020B0FF7	040B0FF7	ANQLGNLegionSoldierPost01	Imperial Legion Soldier	M	0RedRobin	0RedRobinHL
020B1FA8	040B1FA8	ANQDUNNightWatchman	Night Watchman	M	0TheTruth	0TheTruthHL
020B4371	040B4371	ANQTARUdakhu	Udakhu	M	0RedRobin	0RedRobinHL
020B4373	040B4373	ANQORCSaimaiq	Saimaiq	M	0Victor	0VictorHL
020B4B38	040B4B38	ANQDUNSlagydaGromph	Slagada Gromph	F	0Leona	0LeonaHL
020B4F49	040B4F49	ANQRMNMeiZhong	Mei-Zhong	F	0Lamb	0LambHL
020B5C3D	040B5C3D	ANQDUNJodasma	Jo'dasma	F	0Lamb	0LambHL
020B5C46	040B5C46	ANQDUNVajirr	Vajirr	M	0TheTruth	0TheTruthHL
020B5C4F	040B5C4F	ANQDUNFatama	Fatama	F	0Laurell	0LaurellHL
020B5C99	040B5C99	ANQLGNQuartermasterHabius	Quartermaster Habius	M	0TheTruth	0TheTruthHL
020B5D93	040B5D93	ANQLGNLegionSoldierPost02	Imperial Legion Soldier	M	0TheTruth	0TheTruthHL
020B5D94	040B5D94	ANQLGNLegionSoldierPost03	Imperial Legion Soldier	F	0Laurell	0LaurellHL
020B5D98	040B5D98	ANQLGNLegionSoldierRiverkeep01	Imperial Legion Soldier	M	0Victor	0VictorHL
020B5D9D	040B5D9D	ANQLGNLegionSoldierRiverkeep02	Imperial Legion Soldier	M	0Theo	0TheoHL
020B5D9F	040B5D9F	ANQLGNLegionSoldierRiverkeep03	Imperial Legion Soldier	F	0Lenore	0LenoreHL
020B5DA1	040B5DA1	ANQLGNQuartermasterJosidus	Quartermaster Josidus	M	0TheTruth	0TheTruthHL
020B6F24	040B6F24	ANQDUNHenriRoudeau	Henri Roudeau	M	0TheTruth	0TheTruthHL
020B6F2C	040B6F2C	ANQDUNCalenoora	Calenoora	F	0Leona	0LeonaHL
020B8141	040B8141	ANQORCOrbiasTumnus	Orbias Tumnus	M	0Theo	0TheoHL
020B8142	040B8142	ANQORCSsecgarsi	Ssecgarsi	M	0Victor	0VictorHL
020B9091	040B9091	ANQRMNHestaScalpinius	Hesta Scalpinius	F	0Laurell	0LaurellHL
020B90B8	040B90B8	ANQRMNCardusScalpinius	Cardus Scalpinius	M	0TheTruth	0TheTruthHL
020B9240	040B9240	ANQORCYashada	Yashada	F	0Leona	0LeonaHL
020B9294	040B9294	ANQDUNJagan	Jagan	M	0TheTruth	0TheTruthHL
020BB57E	040BB57E	ANQRMNSorosaDorvayn	Sorosa Dorvayn	F	0Lenore	0LenoreHL
020BB5EA	040BB5EA	ANQRMNBrathasRelvani	Brathas Relvani	M	0RedRobin	0RedRobinHL
020BDE0B	040BDE0B	ANQImperialLegionRiderRiverhold	Imperial Legion Soldier	M	0Theo	0TheoHL
020BDE19	040BDE19	ANQTG02Courier	Courier	F	0Koala	0KoalaHL
020BDFEC	040BDFEC	ANQDUNYarna	Yarna	F	0Laurell	0LaurellHL
020C56D7	040C56D7	ANQDUNTochka	Tochka	F	0Lenore	0LenoreHL
020CD22F	040CD22F	ANQDUNGreenFootman03	Dune Soldier	M	0RedRobin	0RedRobinHL
020CD230	040CD230	ANQDUNGreenFootman04	Dune Soldier	M	0RedRobin	0RedRobinHL
020CD231	040CD231	ANQDUNGreenFootman05	Dune Soldier	M	0TheTruth	0TheTruthHL
020CD233	040CD233	ANQDUNGreenBowman03	Dune Soldier	F	0Laurell	0LaurellHL
020CD234	040CD234	ANQDUNGreenBowman04	Dune Soldier	F	0Laurell	0LaurellHL
020CD236	040CD236	ANQDUNRedBowman03	Dune Soldier	F	0Lamb	0LambHL
020CD237	040CD237	ANQDUNRedBowman04	Dune Soldier	F	0Lenore	0LenoreHL
020CD239	040CD239	ANQDUNRedFootman03	Dune Soldier	M	0Victor	0VictorHL
020CD23A	040CD23A	ANQDUNRedFootman04	Dune Soldier	M	0Theo	0TheoHL
020CD23B	040CD23B	ANQDUNRedFootman05	Dune Soldier	M	0Victor	0VictorHL
020D3A25	040D3A25	ANQRMNTiffa	Tiffa	F	0Laurell	0LaurellHL
020DCB6C	040DCB6C	ANQORCKingGrogolagmuth	King Grogolagmuth	M	0TheTruth	0TheTruthHL
020DF532	040DF532	ANQ0KNGBuccioNorbanusTEMP	Buccio Norbanus	M	0RedRobin	0RedRobinHL
020DF533	040DF533	ANQ0ORCYashadaTEMP	Yashada	F	0Laurell	0LaurellHL
020DF534	040DF534	ANQ0CORPsharAbtanjanaTEMP	P'shar Abtanjana	F	0Koala	0KoalaHL
023E494D	043E494D	ANQLL1BanditMissile100_Lvl		M	0Victor	0VictorHL
02546036	04546036	ANQLL0TribalShaman50_Lvl		M	0TheTruth	0TheTruthHL
02C70861	04C70861	ANQLL1WildernessJungle_Lvl		M	0RedRobin	0RedRobinHL
